Image,EAR,MAR,Drowsy
0.jpg,0.43220463869350434,0.501409603612129,1
00.jpg,0.42235183337951093,1.0090475647439499,1
1.jpg,0.35569453820678865,0.6289814302912587,0
10.jpg,0.3670142831613347,0.7368320817602574,0
11.jpg,0.34061229922928626,0.6426292833037421,0
12.jpg,0.3510982317292891,0.6282480054115643,0
13.jpg,0.36941726550108434,0.8582598490499541,0
14.jpg,0.3911351969004818,0.6249816852539651,0
15.jpg,0.35598194753475854,0.5407179502158059,0
16.jpg,0.4009956972512772,0.8069104560886624,1
17.jpg,0.382431158122181,0.6687432358585176,0
18.jpg,0.3432853016933811,0.6533209547279719,0
19.jpg,0.36390989887724934,0.6442369067649594,0
2.jpg,0.39028476793800637,0.6576917969651056,0
20.jpg,0.3714452470086522,0.6153385417844652,0
21.jpg,0.3707112243006342,0.5503858599397314,0
22.jpg,0.39155084773844706,0.653394166758266,0
23.jpg,0.3779348419545383,0.5269883447242084,0
24.jpg,0.38978206893898515,0.9899499839834129,0
25.jpg,0.4022947530466091,1.0092805521423092,1
26.jpg,0.4077532607111063,0.9865737891749049,1
27.jpg,0.3895652813474134,0.9461749033840413,0
28.jpg,0.3661161868954152,0.5512374340309065,0
29.jpg,0.3573230288146656,0.6138441047112472,0
3.jpg,0.3886760288609341,0.8345126322972816,0
30.jpg,0.33789643984078954,0.6404477660447634,0
31.jpg,0.35388002672472024,0.5997052310128937,0
32.jpg,0.3424496068456915,0.7505906589513803,0
33.jpg,0.37583161306841506,0.9065841417480375,0
34.jpg,0.3363975184021314,0.7631271860704706,0
36.jpg,0.3639790420160337,0.7097236842641536,0
37.jpg,0.33928402744071656,0.630533224259598,0
38.jpg,0.3494308977317746,0.6196854669981194,0
39.jpg,0.34460848596136406,0.7000789911611762,0
4.jpg,0.3934315473025248,0.6762875521287983,0
40.jpg,0.3603780995817924,0.6148297547172231,0
41.jpg,0.38200000147473184,0.7081801920514652,0
42.jpg,0.35846063017716756,0.7784674589187441,0
43.jpg,0.3427854858208528,0.7029443014574991,0
44.jpg,0.35032031531075014,0.8893863037783116,0
